,LX.GGNV..HHE,LX.GGNV..HHN,LX.GGNV..HHZ,LX.GGNV..BHZ
521,1449.0,184,542.0,257.0
522,1278.0,710,231.0,268.0
523,1357.0,1162,85.0,194.0
524,1723.0,1309,175.0,476.0
525,1935.0,1135,371.0,146.0
526,1738.0,707,438.0,171.0
527,1575.0,296,471.0,469.0
528,1633.0,156,752.0,230.0
529,1649.0,400,983.0,441.0
530,1411.0,854,821.0,223.0
531,1173.0,1132,443.0,161.0
532,1090.0,1168,272.0,228.0
533,1162.0,1167,384.0,416.0
534,1387.0,1137,568.0,650.0
535,1504.0,985,753.0,429.0
536,1607.0,803,813.0,256.0
537,1519.0,672,626.0,455.0
538,1071.0,582,272.0,466.0
539,919.0,685,25.0,464.0
540,1105.0,1044,206.0,695.0
541,1207.0,1476,482.0,457.0
542,1218.0,1744,416.0,657.0
543,1301.0,1603,364.0,465.0
544,1402.0,1193,610.0,408.0
545,1315.0,946,827.0,464.0
546,1095.0,900,695.0,353.0
547,965.0,894,279.0,674.0
548,1104.0,1002,-4.0,226.0
549,1312.0,1238,244.0,389.0
550,1289.0,1368,775.0,734.0
551,1320.0,1258,1239.0,263.0
552,1589.0,991,1453.0,360.0
553,1658.0,740,1123.0,368.0
554,1471.0,631,380.0,207.0
555,1500.0,614,-170.0,526.0
556,1795.0,576,-82.0,444.0
557,1904.0,661,382.0,389.0
558,1595.0,821,626.0,511.0
559,1327.0,756,594.0,615.0
560,1343.0,593,618.0,383.0
561,1374.0,541,641.0,377.0
562,1509.0,580,518.0,572.0
563,1726.0,632,544.0,139.0
564,1922.0,619,795.0,408.0
565,2068.0,621,927.0,404.0
566,2014.0,745,737.0,299.0
567,1904.0,782,379.0,377.0
568,1900.0,629,231.0,144.0
569,1769.0,589,348.0,291.0
570,1398.0,773,544.0,228.0
571,1296.0,964,768.0,238.0
572,1547.0,1095,964.0,175.0
573,1629.0,1209,948.0,35.0
574,1416.0,1207,645.0,135.0
575,1253.0,1115,241.0,91.0
576,1374.0,1151,106.0,20.0
577,1411.0,1302,349.0,43.0
578,1147.0,1453,601.0,76.0
579,965.0,1444,688.0,109.0
580,1130.0,1248,704.0,212.0
581,1364.0,1196,623.0,71.0
582,1317.0,1468,428.0,63.0
583,1342.0,1811,254.0,277.0
584,1670.0,1918,342.0,-119.0
585,1951.0,1828,582.0,97.0
586,1970.0,1512,585.0,295.0
587,1868.0,1053,407.0,6.0
588,1870.0,782,341.0,263.0
589,1752.0,770,362.0,49.0
590,1430.0,951,371.0,294.0
591,1310.0,1059,553.0,413.0
592,1620.0,809,994.0,194.0
593,1773.0,442,1325.0,295.0
594,1491.0,392,1078.0,375.0
595,1437.0,627,510.0,442.0
596,1679.0,924,262.0,70.0
597,1856.0,1135,351.0,403.0
598,1603.0,1156,530.0,320.0
599,1251.0,1000,664.0,202.0
600,1344.0,787,730.0,451.0
601,1425.0,895,778.0,167.0
602,1348.0,1278,608.0,264.0
603,1412.0,1528,294.0,391.0
604,1845.0,1537,273.0,382.0
605,2270.0,1322,451.0,509.0
606,2129.0,1234,526.0,263.0
607,1806.0,1313,584.0,99.0
608,1782.0,1234,800.0,266.0
609,1947.0,1224,1062.0,138.0
610,2005.0,1376,1148.0,439.0
611,1987.0,1481,945.0,196.0
612,2071.0,1583,612.0,331.0
613,2116.0,1618,374.0,653.0
614,1954.0,1542,95.0,235.0
615,1770.0,1505,-84.0,481.0
616,1885.0,1396,221.0,406.0
617,2195.0,1231,807.0,185.0
618,2117.0,1190,1225.0,422.0
619,1764.0,1136,1204.0,407.0
620,1749.0,1096,742.0,377.0
621,2008.0,1221,142.0,588.0
622,2184.0,1454,-213.0,527.0
623,2204.0,1478,-166.0,492.0
624,2141.0,1252,294.0,333.0
625,1926.0,1182,1027.0,559.0
626,1629.0,1310,1354.0,550.0
627,1497.0,1449,1053.0,302.0
628,1675.0,1415,744.0,652.0
629,1905.0,1290,641.0,514.0
630,1823.0,1258,584.0,310.0
631,1689.0,1259,419.0,492.0
632,1559.0,1161,336.0,464.0
633,1432.0,966,626.0,442.0
634,1483.0,936,812.0,773.0
635,1609.0,1083,600.0,468.0
636,1886.0,1291,347.0,318.0
637,2153.0,1540,352.0,645.0
638,2033.0,1615,485.0,592.0
639,1514.0,1530,631.0,435.0
640,1214.0,1403,825.0,525.0
641,1458.0,1113,875.0,690.0
642,1705.0,857,728.0,646.0
643,1791.0,808,456.0,415.0
644,1996.0,925,286.0,268.0
645,2213.0,1195,351.0,526.0
646,2118.0,1414,402.0,509.0
647,1823.0,1433,320.0,567.0
648,1778.0,1278,418.0,434.0
649,2028.0,1102,782.0,268.0
650,1975.0,1057,1024.0,428.0
651,1653.0,1184,935.0,147.0
652,1784.0,1188,675.0,199.0
653,2232.0,994,450.0,484.0
654,2492.0,934,159.0,294.0
655,2295.0,1073,-66.0,161.0
656,1874.0,1390,68.0,47.0
657,1765.0,1545,412.0,94.0
658,1691.0,1472,661.0,463.0
659,1604.0,1378,627.0,180.0
660,1842.0,1251,461.0,252.0
661,2103.0,1167,289.0,202.0
662,2047.0,1052,193.0,-151.0
663,1825.0,1038,180.0,92.0
664,1795.0,1069,258.0,-62.0
665,1939.0,1071,662.0,-53.0
666,1944.0,1255,969.0,92.0
667,1779.0,1482,674.0,137.0
668,1725.0,1572,218.0,-25.0
669,1745.0,1608,132.0,-3.0
670,1516.0,1654,222.0,161.0
671,1317.0,1599,384.0,215.0
672,1500.0,1479,763.0,239.0
673,1806.0,1369,877.0,81.0
674,1873.0,1333,500.0,223.0
675,1561.0,1422,40.0,271.0
676,1280.0,1447,-271.0,424.0
677,1272.0,1408,-59.0,298.0
678,1181.0,1281,365.0,207.0
679,1106.0,954,478.0,550.0
680,1503.0,606,534.0,571.0
681,2027.0,423,440.0,339.0
682,2104.0,604,207.0,551.0
683,1955.0,1042,-16.0,667.0
684,1928.0,1349,-32.0,350.0
685,2080.0,1432,431.0,600.0
686,2134.0,1360,932.0,470.0
687,2037.0,1085,999.0,375.0
688,2084.0,704,699.0,698.0
689,2128.0,628,231.0,544.0
690,2038.0,974,-271.0,531.0
691,1858.0,1393,-597.0,651.0
692,1696.0,1531,-462.0,470.0
693,1807.0,1340,137.0,591.0
694,1941.0,1219,647.0,561.0
695,1785.0,1316,647.0,341.0
696,1751.0,1357,459.0,344.0
697,1876.0,1282,408.0,349.0
698,1787.0,1254,473.0,556.0
699,1674.0,1317,396.0,351.0
700,1688.0,1316,151.0,285.0
701,1813.0,1336,57.0,306.0
702,1842.0,1435,-25.0,233.0
703,1619.0,1510,-144.0,250.0
704,1422.0,1466,-17.0,-18.0
705,1452.0,1293,195.0,-1.0
706,1572.0,1227,251.0,181.0
707,1482.0,1208,168.0,270.0
708,1401.0,1139,45.0,-139.0
709,1560.0,1089,57.0,-193.0
710,1556.0,984,38.0,172.0
711,1336.0,881,-80.0,-42.0
712,1233.0,898,-67.0,208.0
713,1192.0,1040,155.0,244.0
714,1087.0,1194,450.0,-59.0
715,995.0,1161,442.0,192.0
716,1185.0,859,269.0,-42.0
717,1642.0,571,190.0,63.0
718,1802.0,662,141.0,402.0
719,1565.0,946,285.0,240.0
720,1381.0,1096,669.0,357.0
721,1413.0,1076,944.0,148.0
722,1389.0,962,682.0,349.0
723,1295.0,913,48.0,585.0
724,1383.0,989,-416.0,278.0
725,1519.0,1035,-358.0,538.0
726,1521.0,1101,79.0,721.0
727,1357.0,1283,284.0,435.0
728,1208.0,1386,356.0,529.0
729,1282.0,1375,438.0,655.0
730,1436.0,1400,368.0,487.0
731,1454.0,1536,248.0,456.0
732,1356.0,1647,143.0,371.0
733,1444.0,1552,173.0,571.0
734,1542.0,1392,276.0,351.0
735,1408.0,1240,355.0,477.0
736,1381.0,1014,418.0,633.0
737,1600.0,884,527.0,187.0
738,1933.0,965,638.0,441.0
739,2039.0,1152,467.0,210.0
740,1999.0,1157,51.0,182.0
741,2061.0,971,-193.0,402.0
742,1895.0,900,-30.0,233.0
743,1597.0,1051,363.0,276.0
744,1413.0,1271,745.0,327.0
745,1443.0,1280,890.0,391.0
746,1569.0,1117,695.0,315.0
747,1468.0,905,294.0,373.0
748,1334.0,670,-22.0,515.0
749,1193.0,457,47.0,556.0
750,904.0,375,209.0,281.0
751,542.0,554,233.0,257.0
752,238.0,807,229.0,593.0
753,263.0,927,309.0,373.0
754,488.0,856,479.0,582.0
755,595.0,695,396.0,612.0
756,638.0,583,104.0,413.0
757,825.0,499,-66.0,736.0
758,1025.0,512,110.0,506.0
759,842.0,574,496.0,601.0
760,617.0,487,628.0,563.0
761,800.0,399,548.0,389.0
762,1022.0,562,346.0,646.0
763,948.0,981,34.0,637.0
764,800.0,1356,-77.0,653.0
765,1036.0,1395,162.0,564.0
766,1354.0,1147,524.0,555.0
767,1159.0,708,697.0,635.0
768,990.0,335,704.0,504.0
769,1244.0,301,560.0,501.0
770,1431.0,618,333.0,556.0
771,1343.0,951,164.0,211.0
772,1263.0,1030,-1.0,371.0
773,1418.0,944,76.0,480.0
774,1554.0,896,547.0,221.0
775,1451.0,1072,804.0,455.0
776,1254.0,1134,590.0,312.0
777,1165.0,944,424.0,250.0
778,1156.0,689,364.0,486.0
779,951.0,424,339.0,247.0
780,797.0,402,352.0,213.0
781,999.0,643,364.0,189.0
